09:30 - 10:00,,開場,開場,開場,開場
10:00 - 10:50,`基調講演: Rian Hunter <../speakers/keynote.html>`_,,,,
10:50 - 11:00,,休憩,休憩,休憩,休憩
11:00 - 11:50,,:ref:`session-15-1110-RoomA0715(Ja1)-ja`,:ref:`session-15-1110-RoomA0765(Ja2)-ja`,:ref:`session-15-1110-RoomA0712(En1)-ja`,:ref:`session-15-1110-RoomA0762(En2)-ja`
11:50 - 13:00,,昼休み,昼休み,昼休み,昼休み
13:00 - 13:50,,:ref:`session-15-1300-RoomA0715(Ja1)-ja`,:ref:`session-15-1300-RoomA0765(Ja2)-ja`,:ref:`session-15-1300-RoomA0712(En1)-ja`,:ref:`session-15-1300-RoomA0762(En2)-ja`
13:50 - 14:00,,休憩,休憩,休憩,休憩
14:00 - 14:50,,:ref:`session-15-1400-RoomA0715(Ja1)-ja`,:ref:`session-15-1400-RoomA0765(Ja2)-ja`,:ref:`session-15-1400-RoomA0712(En1)-ja`,:ref:`session-15-1400-RoomA0762(En2)-ja`
14:50 - 15:30,,Tea Break,Tea Break,Tea Break,Tea Break
15:30 - 16:20,,:ref:`session-15-1530-RoomA0715(Ja1)-ja`,:ref:`session-15-1530-RoomA0765(Ja2)-ja`,:ref:`session-15-1530-RoomA0712(En1)-ja`,:ref:`session-15-1530-RoomA0762(En2)-ja`
16:20 - 16:30,,休憩,休憩,休憩,休憩
16:30 - 17:20,,:ref:`session-15-1630-RoomA0715(Ja1)-ja`,:ref:`session-15-1630-RoomA0765(Ja2)-ja`,:ref:`session-15-1630-RoomA0712(En1)-ja`,:ref:`session-15-1630-RoomA0762(En2)-ja`
17:20 - 17:40,,休憩,休憩,休憩,休憩
17:40 - 18:30,:doc:`../speakers/lightningtalks`,,,,
18:30 - 19:00,クロージング,,,,
