09:00 - 09:30,,Open,Open,Open,Open
09:30 - 10:00,Opening,,,,
10:00 - 10:50,`Keynote: Georg Brandl <../speakers/keynote.html>`_,,,,
10:50 - 11:10,,Break,Break,Break,Break
11:10 - 12:00,,:ref:`session-14-1110-RoomA0715(Ja1)-en`,:ref:`session-14-1110-RoomA0765(Ja2)-en`,:ref:`session-14-1110-RoomA0712(En1)-en`,:ref:`session-14-1110-RoomA0762(En2)-en`
12:00 - 13:00,,Lunch,Lunch,Lunch,Lunch
13:00 - 13:30,,:ref:`session-14-1300-RoomA0715(Ja1)-en`,:ref:`session-14-1300-RoomA0765(Ja2)-en`,:ref:`session-14-1300-RoomA0712(En1)-en`,:ref:`session-14-1300-RoomA0762(En2)-en`
13:30 - 13:40,,Break,Break,Break,Break
13:40 - 14:10,,:ref:`session-14-1340-RoomA0715(Ja1)-en`,:ref:`session-14-1340-RoomA0765(Ja2)-en`,:ref:`session-14-1340-RoomA0712(En1)-en`,:ref:`session-14-1340-RoomA0762(En2)-en`
14:10 - 14:20,,Break,Break,Break,Break
14:20 - 14:50,,:ref:`session-14-1420-RoomA0715(Ja1)-en`,:ref:`session-14-1420-RoomA0765(Ja2)-en`,:ref:`session-14-1420-RoomA0712(En1)-en`,:ref:`session-14-1420-RoomA0762(En2)-en`
14:50 - 15:30,,Tea Break,Tea Break,Tea Break,Tea Break
15:30 - 16:20,,:ref:`session-14-1530-RoomA0715(Ja1)-en`,:ref:`session-14-1530-RoomA0765(Ja2)-en`,:ref:`session-14-1530-RoomA0712(En1)-en`,:ref:`session-14-1530-RoomA0762(En2)-en`
16:20 - 16:30,,Break,Break,Break,Break
16:30 - 17:20,,:ref:`session-14-1630-RoomA0715(Ja1)-en`,:ref:`session-14-1630-RoomA0765(Ja2)-en`,:ref:`session-14-1630-RoomA0712(En1)-en`,:ref:`session-14-1630-RoomA0762(En2)-en`
17:20 - 17:30,,Break,Break,Break,Break
17:30 - 18:20,,:ref:`session-14-1730-RoomA0715(Ja1)-en`,:ref:`session-14-1730-RoomA0765(Ja2)-en`,:ref:`session-14-1730-RoomA0712(En1)-en`,:ref:`session-14-1730-RoomA0762(En2)-en`
18:20 - 18:30,,Break,Break,Break,Break
18:30 - 18:40,,Closing,Closing,Closing,Closing
