09:00 - 10:00,,,,,:ref:`session-14-1300-RoomA0765(Ja2)-en` (till 13:30),
10:00 - 10:45,,:ref:`session-14-1300-RoomA0712(En1)-en` (till 13:30),,,,
11:00 - 11:45,,,,:ref:`session-14-1300-RoomA0762(En2)-en` (till 13:30),,
11:45 - 14:00,Break (till 13:40),Break (till 13:40),Break (till 13:40),Break (till 13:40),Break (till 13:40),Break (till 13:40)
14:00 - 15:00,,,:ref:`session-14-1340-RoomA0715(Ja1)-en` (till 14:10),,,
15:15 - 16:00,,,,,:ref:`session-14-1340-RoomA0765(Ja2)-en` (till 14:10),
16:00 - 16:45,,:ref:`session-14-1340-RoomA0712(En1)-en` (till 14:10),,,,
16:45 - 17:30,,,,:ref:`session-14-1340-RoomA0762(En2)-en` (till 14:10),,
,,,,,,
18:45 - 19:00,,,:ref:`session-14-1420-RoomA0715(Ja1)-en` (till 14:50),,,
